"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"svchost","0","405","2203409965056","16203776","11780096","13944","C:\Windows\System32\svchost.exe","Microsoft Corporation","2,34375","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"4456","Microsoft.Win32.SafeHandles.SafeProcessHandle","405","1072",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13944","13944","11780096","11780096","94696","94696","17129472","17129472","30322688","30322688","606928896","2203925151744","True","Normal","11780096","11780096","00:00:01.3906250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:41",,"System.Diagnostics.ProcessThreadCollection","00:00:02.3437500","00:00:00.9531250","91742208","2203409965056","False",,,,"16203776","16203776",,
"svchost","0","126","2203385597952","7491584","3297280","17096","C:\Windows\system32\svchost.exe","Microsoft Corporation","0,078125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"4528","Microsoft.Win32.SafeHandles.SafeProcessHandle","126","1084",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17096","17096","3297280","3297280","60912","60912","3465216","3465216","7548928","7548928","70520832","2203388743680","True","Normal","3297280","3297280","00:00:00.0468750","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:41",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","00:00:00.0312500","67375104","2203385597952","False",,,,"7491584","7491584",,
"svchost","0","212","2203390779392","7880704","1781760","12304","C:\Windows\system32\svchost.exe","Microsoft Corporation","0,03125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"2644","Microsoft.Win32.SafeHandles.SafeProcessHandle","212","1092",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12304","12304","1781760","1781760","76976","76976","1998848","1998848","7925760","7925760","75403264","2203393626112","True","Normal","1781760","1781760","00:00:00.0156250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:41",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","72556544","2203390779392","False",,,,"7880704","7880704",,
"svchost","0","215","2203390369792","7536640","2134016","9672","C:\Windows\system32\svchost.exe","Microsoft Corporation","0,375","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"4312","Microsoft.Win32.SafeHandles.SafeProcessHandle","215","1180",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9672","9672","2134016","2134016","73016","73016","2318336","2318336","7749632","7749632","75816960","2203394039808","True","Normal","2134016","2134016","00:00:00.1562500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:41",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3750000","00:00:00.2187500","72146944","2203390369792","False",,,,"7536640","7536640",,
"svchost","0","250","2203403239424","9871360","3661824","14672","C:\Windows\system32\svchost.exe","Microsoft Corporation","2,6875","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"2804","Microsoft.Win32.SafeHandles.SafeProcessHandle","250","1188",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14672","14672","3661824","3661824","92624","92624","4333568","4333568","10141696","10141696","91308032","2203409530880","True","Normal","3661824","3661824","00:00:01.7500000","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:41",,"System.Diagnostics.ProcessThreadCollection","00:00:02.6875000","00:00:00.9375000","85016576","2203403239424","False",,,,"9871360","9871360",,
"svchost","0","348","2203402006528","11374592","3874816","14048","C:\Windows\System32\svchost.exe","Microsoft Corporation","0,15625","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"2968","Microsoft.Win32.SafeHandles.SafeProcessHandle","348","1372",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14048","14048","3874816","3874816","101696","101696","4620288","4620288","11649024","11649024","90083328","2203408306176","True","Normal","3874816","3874816","00:00:00.0625000","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:42",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1562500","00:00:00.0937500","83783680","2203402006528","False",,,,"11374592","11374592",,
"svchost","0","338","2203450429440","16367616","3899392","19280","C:\Windows\system32\svchost.exe","Microsoft Corporation","0,9375","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"3652","Microsoft.Win32.SafeHandles.SafeProcessHandle","338","1396",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19280","19280","3899392","3899392","186384","186384","4222976","4222976","16850944","16850944","140083200","2203458306048","True","Normal","3899392","3899392","00:00:00.6562500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:42",,"System.Diagnostics.ProcessThreadCollection","00:00:00.9375000","00:00:00.2812500","132206592","2203450429440","False",,,,"16367616","16367616",,
"svchost","0","230","2203431473152","11743232","2617344","12096","C:\Windows\system32\svchost.exe","Microsoft Corporation","0,109375","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"4688","Microsoft.Win32.SafeHandles.SafeProcessHandle","230","1408",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12096","12096","2617344","2617344","163296","163296","3018752","3018752","11853824","11853824","120066048","2203438288896","True","Normal","2617344","2617344","00:00:00.0312500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:42",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","00:00:00.0781250","113250304","2203431473152","False",,,,"11743232","11743232",,
"svchost","0","162","2203388420096","5890048","1277952","7328","C:\Windows\System32\svchost.exe","Microsoft Corporation","0,03125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"4380","Microsoft.Win32.SafeHandles.SafeProcessHandle","162","1428",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7328","7328","1277952","1277952","68536","68536","1388544","1388544","5988352","5988352","71774208","2203389997056","True","Normal","1277952","1277952","00:00:00.0156250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:42",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","70197248","2203388420096","False",,,,"5890048","5890048",,
"svchost","0","171","2203394150400","7790592","1863680","8752","C:\Windows\system32\svchost.exe","Microsoft Corporation","0,046875","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"3296","Microsoft.Win32.SafeHandles.SafeProcessHandle","171","1436",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8752","8752","1863680","1863680","78512","78512","2158592","2158592","7983104","7983104","82219008","2203400441856","True","Normal","1863680","1863680","00:00:00.0468750","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:42",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00","75927552","2203394150400","False",,,,"7790592","7790592",,
